Total income from operations,Employees cost,depreciat,Other expenses,"P/l before other inc. , int., excpt. items & tax",Other income,"P/l before int., excpt. items & tax",Interest,P/l before exceptional items & tax,Tax,Net profit/(loss) for the period
22.36,0.01,0,0.08,0.08,-0.54,0.08,-0.54,0.08,-0.54,-0.54
24.09,0.01,0,0.03,0.12,-0.11,0.12,-0.11,0.12,-0.11,-0.11
22.18,0.02,0,0,0.08,-0.47,0.08,-0.47,0.08,-0.47,-0.47
21.29,0.05,0,0,-0.07,0.01,-0.06,-0.02,-0.06,-0.02,0.01
11.71,0,0,0.06,0.04,0.59,0.04,0.59,0.04,0.59,0.59
4.19,0.04,0,0,0.05,0.39,0.05,0.39,0.04,0.39,0.39
5.92,0.01,0,0,0.05,0.54,0.05,0.54,0.05,0.54,0.54
7.41,0.01,0,0.11,-0.02,0.05,0.04,0.74,0.04,0.05,0.05
0.36,0.01,0,0,0.01,-0.9,0.01,-0.9,0.01,-0.9,-0.9
5.19,0.01,0,0.05,0.04,-0.37,0.04,-0.37,0.04,-0.37,-0.37
0.03,0.02,0,0.02,-0.01,0.2,-0.01,0.2,-0.01,0.2,0.2
0.04,0.02,0,0.01,-0.06,0.03,-0.03,-1.6,-0.03,-1.6,0.03
0.04,0,0,0.04,0,0,0,0,0,0,0
0,0,0,0.01,-0.01,0.41,-0.01,0.41,-0.01,0.41,0.41
0,0.01,0,0.03,-0.04,2.41,-0.04,2.41,-0.04,2.41,2.41
0,0.01,0,0.15,-0.16,0.13,-0.03,1.54,-0.03,1.54,0.13
0,0.01,0,0.05,-0.06,0.01,-0.05,0.89,-0.05,0.89,0.01
4.87,0.01,0,0.03,0.17,-0.01,0.16,2.04,0.16,2.04,-0.01
1.18,0.02,0,0.02,0.03,0.01,0.05,1.51,0.05,1.51,0.01
5.46,0.02,0,0.09,-0.78,0.76,-0.78,0.76,-0.78,0.76,0.76
24.8,0.02,0,0.08,0.35,0.41,0.35,0.41,0.35,0.41,0.41
1.48,0.03,0,0.02,0.04,0.38,0.04,0.38,0.04,0.38,0.38
3.67,0.03,0,0.02,0.08,0.64,0.08,0.64,0.08,0.64,0.64
0.58,0.03,0,0.03,0.03,0.4,0.03,0.4,0.03,0.1,0.4
2.56,0.02,0,0.07,0.18,0.55,0.18,0.55,0.18,0.55,0.55
16.05,0.02,0,0.04,0.69,0.19,0.69,0.19,0.69,0.19,0.19
3.62,0.02,0,0.06,0.14,0.58,0.14,0.58,0.14,0.58,0.58
47.06,0.02,0,0.04,-1.31,2.53,1.22,0.41,1.22,0.15,2.53
4.23,0.01,0,0.13,0.4,1.08,0.4,1.08,0.4,1.08,1.08
11.47,1.43,1.05,9.67,-1.23,0.07,-1.16,0,-1.16,-0.16,-1
12.07,1.38,0.19,9.93,0.48,0.04,0.52,0.01,0.51,0.05,0.46
12.43,1.33,0.14,11.43,-0.53,0.14,-0.39,0,-0.39,0.17,-0.99
11.92,1.51,0.07,10.61,-0.25,0.25,-0.01,0,-0.01,0.05,-0.06
12.41,1.36,0.04,11.06,-0.19,1.05,0.86,0,0.86,-1.42,1.98
13.57,1.54,0.01,11.78,0.22,0.05,0.27,0,0.27,0.18,0.89
8.85,1.49,0.01,0.78,-0.07,0.32,0.25,0,0.25,0,0.25
4.94,3.14,0.15,1.16,0.49,0.39,0.88,0,0.88,0.29,0.59
5.26,3.28,0.14,1.32,0.51,0.48,1,0,1,0.29,0.68
5.14,3.06,0.25,1.85,-0.02,0.11,0.09,0,0.09,-0.02,0.11
